UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment,CleanedTweet
11,44963,"Boksburg, South Africa",04-03-2020,"Best quality couches at unbelievably low prices available to order.

We are in Boksburg GP 

For more info WhatsApp:
084 764 8086

#SuperTuesdsy #PowerTalk 
#Covid_19 #SayEntrepreneur 
#DJSBU https://t.co/HhDJhyQ2Dc",Positive,"['best', 'quality', 'couches', 'unbelievably', 'low', 'prices', 'available', 'order', 'boksburg', 'gp', 'info', 'whatsapp', '084', '764', '8086', 'supertuesdsy', 'powertalk', 'covid19', 'sayentrepreneur', 'djsbu']"
12,44964,New Delhi,04-03-2020,"Beware of counterfeits trying to sell fake masks at cheap prices. Let's defeat coronavirus threat, #Covid_19 collectively. #BeSafe #BeACascader #CoronavirusReachesDelhi 
#coronavirusindia 

https://t.co/2Ikkmimj4f https://t.co/RB9rtt7Nkc",Extremely Negative,"['beware', 'counterfeits', 'trying', 'sell', 'fake', 'masks', 'cheap', 'prices', 'lets', 'defeat', 'coronavirus', 'threat', 'covid19', 'collectively', 'besafe', 'beacascader', 'coronavirusreachesdelhi', 'coronavirusindia']"
13,44965,"USA, PA",04-03-2020,"Panic food buying in Germany due to #coronavirus has begun.  But the #organic is left behind! #Hamsterkauf

Panic buying is called ""Hamster purchases""(Hamsterkäufe) in German, taken from the way Hamsters stuff their cheeks with food.  

https://t.co/aYQtLLGW1m",Extremely Negative,"['panic', 'food', 'buying', 'germany', 'due', 'coronavirus', 'begun', 'organic', 'left', 'behind', 'hamsterkauf', 'panic', 'buying', 'called', 'hamster', 'purchaseshamsterkäufe', 'german', 'taken', 'way', 'hamsters', 'stuff', 'cheeks', 'food']"
14,44966,,04-03-2020,"#Covid_19 Went to the Grocery Store, turns out all cleaning supplies have been bought out for fear of Coronavirus.

My daughter's substitute teacher showed her class how to make hand sanitizer. Now I just need to buy some 100% alcohol. Wish me luck that any stores will have it.",Extremely Positive,"['covid19', 'went', 'grocery', 'store', 'turns', 'cleaning', 'supplies', 'bought', 'fear', 'coronavirus', 'daughters', 'substitute', 'teacher', 'showed', 'class', 'make', 'hand', 'sanitizer', 'need', 'buy', '100', 'alcohol', 'wish', 'luck', 'stores']"
15,44967,"Washington, DC",04-03-2020,"While we were busy watching election returns and bracing for a Covid-19 outbreak, Trump nominated a chemical-industry lobbyist to head the Consumer Product Safety Commission https://t.co/M2ShHI1Tn0",Positive,"['busy', 'watching', 'election', 'returns', 'bracing', 'covid19', 'outbreak', 'trump', 'nominated', 'chemicalindustry', 'lobbyist', 'head', 'consumer', 'product', 'safety', 'commission']"
16,44968,Bengaluru ,04-03-2020,"#AirSewa 

@flyspicejet is not providing #webchecin customers free seats.

Passengers are forced to choose paid seats as free seats are made available only at airport counter. 

This should be stopped as its discriminatory and against travellers rights 

@HardeepSPuri @MoCA_GoI",Extremely Negative,"['airsewa', 'flyspicejet', 'providing', 'webchecin', 'customers', 'free', 'seats', 'passengers', 'forced', 'choose', 'paid', 'seats', 'free', 'seats', 'made', 'available', 'airport', 'counter', 'stopped', 'it\x92s', 'discriminatory', 'travellers', 'rights', 'hardeepspuri', 'mocagoi']"
17,44969,Mumbai,05-03-2020,"What Precautionary measures have you all taken in your respective Restaurants and Hotels, Comment below...
#COVID-19 #Coronavirus

COVID-19: Hotel chains enforce precautionary measures, issue safety, hygiene advisories
https://t.co/7Zo2vqSPzY",Extremely Positive,"['precautionary', 'measures', 'taken', 'respective', 'restaurants', 'hotels', 'comment', 'covid19', 'coronavirus', 'covid19', 'hotel', 'chains', 'enforce', 'precautionary', 'measures', 'issue', 'safety', 'hygiene', 'advisories']"
18,44970,"Toronto, Ontario",05-03-2020,"When youre stockpiling food &amp; other supplies, buy extra for your local food bank. Many families dont have the luxury to spend beyond their weekly budget. @DailyBreadTO  #coronavirus",Neutral,"['you\x92re', 'stockpiling', 'food', 'amp', 'supplies', 'buy', 'extra', 'local', 'food', 'bank', 'many', 'families', 'don\x92t', 'luxury', 'spend', 'beyond', 'weekly', 'budget', 'dailybreadto', 'coronavirus']"
19,44971,,05-03-2020,"That's about a week from now. A bit optimistic.  Probably it will take another month.  Supply chain may be recovering, demand chain will be non-existent in US and Europe for the next month or two.
$spx $qqq $es $nq https://t.co/yXcOfL0BnI",Positive,"['thats', 'week', 'bit', 'optimistic', 'probably', 'take', 'another', 'month', 'supply', 'chain', 'may', 'recovering', 'demand', 'chain', 'nonexistent', 'us', 'europe', 'next', 'month', 'two', 'spx', 'qqq', 'es', 'nq']"
20,44972,Tallahassee,05-03-2020,"Studies show the #coronavirus like #COVID19 can live up to nine days on hard surfaces like metal, plastic, and glass.

Our Deputy Commissioner of Consumer Affairs Mary Barzee Flores shows you how to keep clean at the gas pump.

Watch and share? https://t.co/AIqATWT5zz",Extremely Positive,"['studies', 'show', 'coronavirus', 'like', 'covid19', 'live', 'nine', 'days', 'hard', 'surfaces', 'like', 'metal', 'plastic', 'glass', 'deputy', 'commissioner', 'consumer', 'affairs', 'mary', 'barzee', 'flores', 'shows', 'keep', 'clean', 'gas', 'pump', 'watch', 'share']"
21,44973,Malta,05-03-2020,"#CoronaVirus #COVID_19 People are starting to become frightened and to do #PanicShopping. Many shelves, meanwhile, turn empty as #goods are sold. #FaceMasks &amp; disinfection liquid are sold out, or they are sold for exorbitant prices! #Blockchain #CryptoNews https://t.co/AkR3lmLEKf",Negative,"['coronavirus', 'covid19', 'people', 'starting', 'become', 'frightened', 'panicshopping', 'many', 'shelves', 'meanwhile', 'turn', 'empty', 'goods', 'sold', 'facemasks', 'amp', 'disinfection', 'liquid', 'sold', 'sold', 'exorbitant', 'prices', 'blockchain', 'cryptonews']"
22,44974,"Texas, USA",05-03-2020,"For those of you that think credit/debit is just as good as #bitcoin when it comes to combating #coronavirus, keep in mind that this is not a ""contactless transaction.""  How many people at your grocery store or gas station touch this keypad every day? https://t.co/WVq8bb9OlS",Extremely Positive,"['think', 'creditdebit', 'good', 'bitcoin', 'comes', 'combating', 'coronavirus', 'keep', 'mind', 'contactless', 'transaction', 'many', 'people', 'grocery', 'store', 'gas', 'station', 'touch', 'keypad', 'every', 'day']"
23,44975,"Florida, USA",06-03-2020,Control over stocks and gold is lost...gold coming back very nicely! Loves wallbridge and Balmoral and warns listeners about #coronavirus Sprott Money Ltd. recently put in money to $OCG $GENM $MMG and many more... https://t.co/3aURZ2e4Sj,Extremely Positive,"['control', 'stocks', 'gold', 'lostgold', 'coming', 'back', 'nicely', 'loves', 'wallbridge', 'balmoral', 'warns', 'listeners', 'coronavirus', 'sprott', 'money', 'ltd', 'recently', 'put', 'money', 'ocg', 'genm', 'mmg', 'many']"
24,44976,Chandigarh,06-03-2020,"Sellers are cashing on your panic to sell facemasks and sanitizers at super inflated prices.

In reality, neither sanitizer nor facemasks are ""must have"" to save yourself from #coronavirus. 

Please watch this video for more :

https://t.co/sgOFnAu4j8",Extremely Positive,"['sellers', 'cashing', 'panic', 'sell', 'facemasks', 'sanitizers', 'super', 'inflated', 'prices', 'reality', 'neither', 'sanitizer', 'facemasks', 'must', 'save', 'coronavirus', 'please', 'watch', 'video']"
25,44977,Canada,07-03-2020,"Canada's oilpatch is bracing for the impact of plunging crude prices after OPEC and its allies failed to reach a deal aimed at cutting production as economies slow because of the novel #coronavirus. The fool @Jkenney based his budget on hired oil prices 

https://t.co/fDCpQPvPuo",Extremely Negative,"['canadas', 'oilpatch', 'bracing', 'impact', 'plunging', 'crude', 'prices', 'opec', 'allies', 'failed', 'reach', 'deal', 'aimed', 'cutting', 'production', 'economies', 'slow', 'novel', 'coronavirus', 'fool', 'jkenney', 'based', 'budget', 'hired', 'oil', 'prices']"
26,44978,"Wayne County, MI",07-03-2020,"Alright yall I hope our Melanin prevails but just in case I took some precautions I had some food &amp; water delivered. ????? Ive had my masks for a month and may have to open soon! 
?? #B1 #FBA 

#CoronavirusUSA #COVID https://t.co/cTQMDgDgtD",Positive,"['alright', 'y\x92all', 'hope', 'melanin', 'prevails', 'case', 'took', 'precautions', 'food', 'amp', 'water', 'delivered', 'i\x92ve', 'masks', 'month', 'may', 'open', 'soon', 'b1', 'fba', 'coronavirususa', 'covid']"
27,44979,"Bondi Beach, Sydney",07-03-2020,When your usual grocery shopping @woolworths turns into a toilet paper fight in the supermarket aisle. Yikes. #toiletpaperpanic for the #coronavirus has taken a whole new level. https://t.co/aKJ283I20C,Negative,"['usual', 'grocery', 'shopping', 'woolworths', 'turns', 'toilet', 'paper', 'fight', 'supermarket', 'aisle', 'yikes', 'toiletpaperpanic', 'coronavirus', 'taken', 'whole', 'new', 'level']"
28,44980,,07-03-2020,"Coronavirus panic spreads: Costco is pulling free samples over COVID-19 - USA TODAY

Coronavirus panic spreads: Costco is pulling free samples over COVID-19  USA TODAY

'It's pandemonium': virus panic-buying hits Los Angeles  Yahoo News

How Costco is Ha https://t.co/MyTDpDomEI",Negative,"['coronavirus', 'panic', 'spreads', 'costco', 'pulling', 'free', 'samples', 'covid19', 'usa', 'today', 'coronavirus', 'panic', 'spreads', 'costco', 'pulling', 'free', 'samples', 'covid19', 'usa', 'today', 'pandemonium', 'virus', 'panicbuying', 'hits', 'los', 'angeles', 'yahoo', 'news', 'costco', 'ha']"
29,44981,,07-03-2020,"While you are stocking up, waiting for quarantine, if you can don't forget to donate  food, water, and toiletries to your local food banks to help others without the means to stock up. Get ahead of it before it becomes a crisis. #covid19 #coronavirus",Negative,"['stocking', 'waiting', 'quarantine', 'dont', 'forget', 'donate', 'food', 'water', 'toiletries', 'local', 'food', 'banks', 'help', 'others', 'without', 'means', 'stock', 'get', 'ahead', 'becomes', 'crisis', 'covid19', 'coronavirus']"
30,44982,United States,07-03-2020,"#Coronavirus is ""an exposure of all the holes in the social safety net,"" says NELP Government Affairs Director Judy Conti

#UI #Unemployment #PaidLeaveForAll
https://t.co/BrCY9IJWSv",Positive,"['coronavirus', 'exposure', 'holes', 'social', 'safety', 'net', 'says', 'nelp', 'government', 'affairs', 'director', 'judy', 'conti', 'ui', 'unemployment', 'paidleaveforall']"
31,44983,"New York, New York",07-03-2020,"Two important phone numbers NYers should know. If you have no doctor or insurance and think you may be sick and need to be tested for #coronavirus, call the state's helpline: 1-888-364-3065. To report price gouging, call the Div. of Consumer Protection at 1-800-697-1220.",Negative,"['two', 'important', 'phone', 'numbers', 'nyers', 'know', 'doctor', 'insurance', 'think', 'may', 'sick', 'need', 'tested', 'coronavirus', 'call', 'states', 'helpline', '18883643065', 'report', 'price', 'gouging', 'call', 'div', 'consumer', 'protection', '18006971220']"
32,44984,"London, England",08-03-2020,"Tip for all Pro Wrestlers to help combat the #coronavirus...be more like @ZoeLucasPro and bring hand sanitizer to your matches as a precaution

#EVEWrestling @ProWrestlingEVE https://t.co/SUYUsaPm7j",Extremely Positive,"['tip', 'pro', 'wrestlers', 'help', 'combat', 'coronavirusbe', 'like', 'zoelucaspro', 'bring', 'hand', 'sanitizer', 'matches', 'precaution', 'evewrestling', 'prowrestlingeve']"
33,44985,USA,08-03-2020,"Is this effective?
Is it necessary?
Or is it just optics?
Scare tactics?
For the American consumer?
For US MSM to use?
If optics, What is the intended effect?
Fear?
Crash US Market-&gt;panic-&gt;elect Biden

#Qanon #coronavirus https://t.co/H48ZMfuAme",Extremely Negative,"['effective', 'necessary', 'optics', 'scare', 'tactics', 'american', 'consumer', 'us', 'msm', 'use', 'optics', 'intended', 'effect', 'fear', 'crash', 'us', 'marketgtpanicgtelect', 'biden', 'qanon', 'coronavirus']"
34,44986,"Toronto, Ontario",08-03-2020,"IMHO Russia's rug pull on oil prices is designed to end the dollar as the global reserve currency. How? Corp debt collapse, led by high yield and fracking, compounded by COVID-19, will mean Fed and US Govt respond with #MMT. Ciao dollar. Alt is collapse. Got #Gold or #Silver yet?",Extremely Negative,"['imho', 'russias', 'rug', 'pull', 'oil', 'prices', 'designed', 'end', 'dollar', 'global', 'reserve', 'currency', 'corp', 'debt', 'collapse', 'led', 'high', 'yield', 'fracking', 'compounded', 'covid19', 'mean', 'fed', 'us', 'govt', 'respond', 'mmt', 'ciao', 'dollar', 'alt', 'collapse', 'got', 'gold', 'silver', 'yet']"
35,44987,"Angmering, West Sussex",08-03-2020,So not due to #Brexit at all then &gt;&gt; Supermarkets begin #foodrationing after wave of #coronavirus-fuelled panic buying https://t.co/AKgkHxO0tW,Neutral,"['due', 'brexit', 'gtgt', 'supermarkets', 'begin', 'foodrationing', 'wave', 'coronavirusfuelled', 'panic', 'buying']"
36,44988,"Dont ask for freedom, take it.",08-03-2020,"Remember, with all the media deflection stories about bog rolls, panic-buying, food shortages, Covid-19, Irish bridges etc etc.

We've still got Brexit, Austerity, poverty, a crashing economy &amp; the worst UK Govt in living memory. 

All depressing stuff &amp; it aint gonna end well.",Extremely Negative,"['remember', 'media', 'deflection', 'stories', 'bog', 'rolls', 'panicbuying', 'food', 'shortages', 'covid19', 'irish', 'bridges', 'etc', 'etc', 'weve', 'still', 'got', 'brexit', 'austerity', 'poverty', 'crashing', 'economy', 'amp', 'worst', 'uk', 'govt', 'living', 'memory', 'depressing', 'stuff', 'amp', 'aint', 'gon', 'na', 'end', 'well']"
37,44989,"New York, NY",08-03-2020,"Fellow Uni instructors! COVID-19 f2f class cancelations are  inconvenient! But remember you're salaried employees. Maybe call/email HR or your union &amp; demand to know how hourly workers (clerical, food-service, custodial, etc) will be  compensated during campus closures?",Negative,"['fellow', 'uni', 'instructors', 'covid19', 'f2f', 'class', 'cancelations', 'inconvenient', 'remember', 'youre', 'salaried', 'employees', 'maybe', 'callemail', 'hr', 'union', 'amp', 'demand', 'know', 'hourly', 'workers', 'clerical', 'foodservice', 'custodial', 'etc', 'compensated', 'campus', 'closures']"
38,44990,,08-03-2020,"@howroute Its not even over food... what the actual heck?? I have news for these people ... 

you need food and water before you need the paper to wipe your a$$. Just sayin.. ? 

#covid19 #Covid_19 #coronavirus #corona #virus #panic",Neutral,"['howroute', 'it\x92s', 'even', 'food', 'actual', 'heck', 'news', 'people', 'need', 'food', 'water', 'need', 'paper', 'wipe', 'sayin', 'covid19', 'covid19', 'coronavirus', 'corona', 'virus', 'panic']"
39,44991,"Sydney, New South Wales",08-03-2020,"1/25 Part 1 - Why does soap work so well on the SARS-CoV-2, the coronavirus and indeed most viruses? Because it is a self-assembled nanoparticle in which the weakest link is the lipid (fatty) bilayer. A two part thread about soap, viruses and supramolecular chemistry #COVID19 https://t.co/OCwqPjO5Ht",Negative,"['125', 'part', '1', 'soap', 'work', 'well', 'sarscov2', 'coronavirus', 'indeed', 'viruses', 'selfassembled', 'nanoparticle', 'weakest', 'link', 'lipid', 'fatty', 'bilayer', 'two', 'part', 'thread', 'soap', 'viruses', 'supramolecular', 'chemistry', 'covid19']"
40,44992,Socially Distanced in NC,08-03-2020,"Thread: Please STOP shaming folks who stock up on food and personal care products ahead of #CoronaVirus #COVID19. #Trump made it clear that he doesnt care and wont help, so theyre protecting their families their way. Its a tiny bit of mastery and control in terrifying times. https://t.co/12eMup9mtA",Extremely Positive,"['thread', 'please', 'stop', 'shaming', 'folks', 'stock', 'food', 'personal', 'care', 'products', 'ahead', 'coronavirus', 'covid19', 'trump', 'made', 'clear', 'doesn\x92t', 'care', 'won\x92t', 'help', 'they\x92re', 'protecting', 'families', 'way', 'it\x92s', 'tiny', 'bit', 'mastery', 'control', 'terrifying', 'times']"
41,44993,"Michigan, USA",09-03-2020,"For those thinking #seniors #disabled &amp; #vets shouldnt be included in any @realDonaldTrump aid package because of #Covid_19 #coronavirus check prices on antibacterial soaps, disinfectant safer transportation other than crowded city busses list goes on @SenStabenow @RashidaTlaib",Positive,"['thinking', 'seniors', 'disabled', 'amp', 'vets', 'shouldn\x92t', 'included', 'realdonaldtrump', 'aid', 'package', 'covid19', 'coronavirus', 'check', 'prices', 'antibacterial', 'soaps', 'disinfectant', 'safer', 'transportation', 'crowded', 'city', 'busses', 'list', 'goes', 'senstabenow', 'rashidatlaib']"
42,44994,Pennsylvania,09-03-2020,"So far 36 Pennsylvanians have reached out to my Office to report inflated prices on everything from disinfectant spray to liquid soap.
 
Price gouging like this isnt just wrong, its illegal. Keep your emails coming: pricegouging@attorneygeneral.gov #coronavirus",Negative,"['far', '36', 'pennsylvanians', 'reached', 'office', 'report', 'inflated', 'prices', 'everything', 'disinfectant', 'spray', 'liquid', 'soap', 'price', 'gouging', 'like', 'isn\x92t', 'wrong', 'it\x92s', 'illegal', 'keep', 'emails', 'coming', 'pricegougingattorneygeneralgov', 'coronavirus']"
43,44995,Kolkata?? and Dhaka??,09-03-2020,"Global stock markets continued their bear run as #DowJones and S&amp;P500 plunged as they opened on Monday. Plunge was largely on the back of the 30% overnight slump in #CrudeOil prices, along with the persistent concerns over the impact of #CoronaVirus on the global #economy.",Neutral,"['global', 'stock', 'markets', 'continued', 'bear', 'run', 'dowjones', 'sampp500', 'plunged', 'opened', 'monday', 'plunge', 'largely', 'back', '30', 'overnight', 'slump', 'crudeoil', 'prices', 'along', 'persistent', 'concerns', 'impact', 'coronavirus', 'global', 'economy']"
44,44996,"Washington, D.C.",09-03-2020,Scammers are taking advantage of fears surrounding the #Coronavirus. Here are some tips to help you keep scammers at bay: https://t.co/Yt892bgnBu #COVID2019 https://t.co/kmILU80H6h,Positive,"['scammers', 'taking', 'advantage', 'fears', 'surrounding', 'coronavirus', 'tips', 'help', 'keep', 'scammers', 'bay', 'covid2019']"
45,44997,"Burnaby, British Columbia",09-03-2020,"Are you doing business in international markets? This @ExportDevCanada webinar will show you how to navigate todays exporting challenges and rising commodity prices due to the COVID-19 virus.

https://t.co/pDBUlOnAEI",Positive,"['business', 'international', 'markets', 'exportdevcanada', 'webinar', 'show', 'navigate', 'today\x92s', 'exporting', 'challenges', 'rising', 'commodity', 'prices', 'due', 'covid19', 'virus']"
46,44998,"Manhattan, NY",09-03-2020,"For those in gig economy who only earn if ppl are going out, we can immediately process refunds for 2019 Earned Income Tax Credit or Child Tax Credit - or they can borrow against 2020 credits. That cash can help make ends meet until normal consumer behavior returns #coronavirus",Extremely Positive,"['gig', 'economy', 'earn', 'ppl', 'going', 'immediately', 'process', 'refunds', '2019', 'earned', 'income', 'tax', 'credit', 'child', 'tax', 'credit', 'borrow', '2020', 'credits', 'cash', 'help', 'make', 'ends', 'meet', 'normal', 'consumer', 'behavior', 'returns', 'coronavirus']"
47,44999,"Colorado, USA",09-03-2020,"I have instructed that insurance companies make COVID-19 testing free. This important step will help ensure cost barriers do not stand in the way of people getting tested. 

Read more: https://t.co/0VrdDfNPay https://t.co/9JdaVZw7ai",Extremely Positive,"['instructed', 'insurance', 'companies', 'make', 'covid19', 'testing', 'free', 'important', 'step', 'help', 'ensure', 'cost', 'barriers', 'stand', 'way', 'people', 'getting', 'tested', 'read']"
48,45000,"Washington, DC",09-03-2020,The oil prices dipping has absolutely nothing to do with #COVID2019 it has everything to do with #OPEC talks collapsing and Saudi feuding with Russia. Celebrate and calm the hell down.. weirdos.,Extremely Negative,"['oil', 'prices', 'dipping', 'absolutely', 'nothing', 'covid2019', 'everything', 'opec', 'talks', 'collapsing', 'saudi', 'feuding', 'russia', 'celebrate', 'calm', 'hell', 'weirdos']"
49,45001,United States,09-03-2020,"Global stocks plummeted today due to fear surrounding #COVID2019 and falling oil prices, which saw the biggest one-day drop since the 1991 Gulf War.

Let's look at how the major stock indices have been reacting to the news, based on their closing values. https://t.co/fV7IehqaDo",Extremely Negative,"['global', 'stocks', 'plummeted', 'today', 'due', 'fear', 'surrounding', 'covid2019', 'falling', 'oil', 'prices', 'saw', 'biggest', 'oneday', 'drop', 'since', '1991', 'gulf', 'war', 'lets', 'look', 'major', 'stock', 'indices', 'reacting', 'news', 'based', 'closing', 'values']"
50,45002,#NoNazis?? kaspum zaháv,09-03-2020,"The beginning of a  global recession!

#Coronavirus damaging health crisis?
#oil prices falling down?
US stocks falling down?
7% drop this morning &amp; trading halt?
#migration crisis at the EU borders 
#housingCrisis &amp; skyrocketing rents. Tenants are losing 50% of income?
#Q*",Extremely Negative,"['beginning', 'global', 'recession', 'coronavirus', 'damaging', 'health', 'crisis', 'oil', 'prices', 'falling', 'us', 'stocks', 'falling', '7', 'drop', 'morning', 'amp', 'trading', 'halt', 'migration', 'crisis', 'eu', 'borders', 'housingcrisis', 'amp', 'skyrocketing', 'rents', 'tenants', 'losing', '50', 'income', 'q']"
51,45003,Australia,09-03-2020,"@7NewsSydney @ScottMorrisonMP Some Factors have bought on the recession 1)Ignoring per-capita recession, 2)wage growth stagnant 3)Consumer debt levels are through the roof 4) casualized work! These changes in the economy are driven by government not #co",Extremely Negative,"['7newssydney', 'scottmorrisonmp', 'factors', 'bought', 'recession', '1ignoring', 'percapita', 'recession\x92', '2wage', 'growth', 'stagnant', '3consumer', 'debt', 'levels', 'roof', '4', 'casualized', 'work', 'changes', 'economy', 'driven', 'government', 'co']"
52,45004,USA|EUROPE|ASIA|GLOBAL??,09-03-2020,"Cuomo press conference...
New York is releasing new brand of state made had sanitizer prices from $0.80¢ - $6 a gallon!
#CoronaVirusUpdates #Corona #CoronavirusOutbreak #virus #COVID2019 #COVID19 #NYC

https://t.co/9jhElBwElZ",Neutral,"['cuomo', 'press', 'conference', 'new', 'york', 'releasing', 'new', 'brand', 'state', 'made', 'sanitizer', 'prices', '080¢', '6', 'gallon', 'coronavirusupdates', 'corona', 'coronavirusoutbreak', 'virus', 'covid2019', 'covid19', 'nyc']"
53,45005,Colorado,09-03-2020,"Ignore online offers for #vaccinations. There currently are no vaccines, pills, potions, lotions, lozenges or other prescription or over-the-counter products available to treat or cure #Coronavirus disease 2019 (COVID-19)  online or in stores.

@FTC tips: https://t.co/Sqbf4LHB8H https://t.co/DX5po1KDqi",Negative,"['ignore', 'online', 'offers', 'vaccinations', 'currently', 'vaccines', 'pills', 'potions', 'lotions', 'lozenges', 'prescription', 'overthecounter', 'products', 'available', 'treat', 'cure', 'coronavirus', 'disease', '2019', 'covid19', '\x97', 'online', 'stores', 'ftc', 'tips']"
54,45006,"Cambridgeshire, UK",09-03-2020,"If you are lucky enough to be sitting at home with enough food to get you through a period of self-isolation, please consider donating to the @TrussellTrust to help those who couldn't stock up even if they wanted to. #TrussellTrust #foodbanks #coronavirus #COVID19",Extremely Positive,"['lucky', 'enough', 'sitting', 'home', 'enough', 'food', 'get', 'period', 'selfisolation', 'please', 'consider', 'donating', 'trusselltrust', 'help', 'couldnt', 'stock', 'even', 'wanted', 'trusselltrust', 'foodbanks', 'coronavirus', 'covid19']"
55,45007,earth,09-03-2020,"@thehill Americans need to take it upon themselves to help avoid contracting covid-19.
Prep to self quarantine for 2 wks.
Stop unnecessary travel or crowd gatherings.
Talk to your employer about how to proceed w/o harm to your career.
Plan for sch",Extremely Negative,"['thehill', 'americans', 'need', 'take', 'upon', 'help', 'avoid', 'contracting', 'covid19', 'prep', 'self', 'quarantine', '2', 'wks', 'stop', 'unnecessary', 'travel', 'crowd', 'gatherings', 'talk', 'employer', 'proceed', 'wo', 'harm', 'career', 'plan', 'sch']"
